- M: CTNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): laplacian - Classes 2 - Feats 1
Epoch: 003, Train Loss: 36.412, Train Acc: 0.585, Test Loss: 13.912, Test Acc: 0.595
Epoch: 004, Train Loss: 36.317, Train Acc: 0.588, Test Loss: 14.151, Test Acc: 0.565
Epoch: 005, Train Loss: 36.369, Train Acc: 0.557, Test Loss: 13.867, Test Acc: 0.635
Epoch: 006, Train Loss: 36.238, Train Acc: 0.632, Test Loss: 13.971, Test Acc: 0.640
Epoch: 007, Train Loss: 36.204, Train Acc: 0.662, Test Loss: 14.028, Test Acc: 0.640
Epoch: 008, Train Loss: 36.215, Train Acc: 0.631, Test Loss: 13.924, Test Acc: 0.655
Epoch: 009, Train Loss: 36.231, Train Acc: 0.661, Test Loss: 13.950, Test Acc: 0.625
Epoch: 010, Train Loss: 36.227, Train Acc: 0.645, Test Loss: 13.957, Test Acc: 0.650
Epoch: 011, Train Loss: 36.174, Train Acc: 0.699, Test Loss: 13.883, Test Acc: 0.650
Epoch: 012, Train Loss: 36.152, Train Acc: 0.662, Test Loss: 13.933, Test Acc: 0.625
Epoch: 013, Train Loss: 36.205, Train Acc: 0.661, Test Loss: 13.938, Test Acc: 0.620
Epoch: 014, Train Loss: 36.133, Train Acc: 0.690, Test Loss: 13.914, Test Acc: 0.675
Epoch: 015, Train Loss: 36.124, Train Acc: 0.700, Test Loss: 13.995, Test Acc: 0.635
Epoch: 016, Train Loss: 36.115, Train Acc: 0.681, Test Loss: 13.949, Test Acc: 0.625
Epoch: 017, Train Loss: 36.121, Train Acc: 0.709, Test Loss: 14.026, Test Acc: 0.615
Epoch: 018, Train Loss: 36.128, Train Acc: 0.699, Test Loss: 13.885, Test Acc: 0.645
Epoch: 019, Train Loss: 36.101, Train Acc: 0.679, Test Loss: 14.004, Test Acc: 0.615
Epoch: 020, Train Loss: 36.079, Train Acc: 0.703, Test Loss: 13.871, Test Acc: 0.645
Epoch: 021, Train Loss: 36.087, Train Acc: 0.666, Test Loss: 13.933, Test Acc: 0.610
Epoch: 022, Train Loss: 36.061, Train Acc: 0.688, Test Loss: 14.049, Test Acc: 0.625
Epoch: 023, Train Loss: 36.036, Train Acc: 0.688, Test Loss: 13.963, Test Acc: 0.645
Epoch: 024, Train Loss: 36.006, Train Acc: 0.694, Test Loss: 13.834, Test Acc: 0.670
Epoch: 025, Train Loss: 36.016, Train Acc: 0.711, Test Loss: 13.853, Test Acc: 0.630
Epoch: 026, Train Loss: 36.064, Train Acc: 0.705, Test Loss: 13.972, Test Acc: 0.630
Epoch: 027, Train Loss: 36.031, Train Acc: 0.710, Test Loss: 13.821, Test Acc: 0.650
Epoch: 028, Train Loss: 36.003, Train Acc: 0.701, Test Loss: 13.975, Test Acc: 0.655
Epoch: 029, Train Loss: 36.019, Train Acc: 0.699, Test Loss: 13.941, Test Acc: 0.645
Epoch: 030, Train Loss: 36.015, Train Acc: 0.681, Test Loss: 13.870, Test Acc: 0.680
Epoch: 031, Train Loss: 35.986, Train Acc: 0.703, Test Loss: 13.909, Test Acc: 0.635
Epoch: 032, Train Loss: 35.974, Train Acc: 0.703, Test Loss: 14.001, Test Acc: 0.645
Epoch: 033, Train Loss: 36.002, Train Acc: 0.691, Test Loss: 13.941, Test Acc: 0.650
Epoch: 034, Train Loss: 36.060, Train Acc: 0.664, Test Loss: 14.039, Test Acc: 0.580
Epoch: 035, Train Loss: 36.047, Train Acc: 0.664, Test Loss: 13.908, Test Acc: 0.640
Epoch: 036, Train Loss: 36.019, Train Acc: 0.695, Test Loss: 14.037, Test Acc: 0.655
Epoch: 037, Train Loss: 36.034, Train Acc: 0.688, Test Loss: 13.840, Test Acc: 0.635
Epoch: 038, Train Loss: 36.043, Train Acc: 0.693, Test Loss: 13.811, Test Acc: 0.665
Epoch: 039, Train Loss: 36.015, Train Acc: 0.664, Test Loss: 13.827, Test Acc: 0.630
Epoch: 040, Train Loss: 35.970, Train Acc: 0.705, Test Loss: 13.926, Test Acc: 0.640
Epoch: 041, Train Loss: 36.006, Train Acc: 0.677, Test Loss: 13.886, Test Acc: 0.620
Epoch: 042, Train Loss: 36.018, Train Acc: 0.689, Test Loss: 13.873, Test Acc: 0.685
Epoch: 043, Train Loss: 36.047, Train Acc: 0.677, Test Loss: 13.789, Test Acc: 0.680
Epoch: 044, Train Loss: 36.006, Train Acc: 0.709, Test Loss: 13.840, Test Acc: 0.685
Epoch: 045, Train Loss: 35.976, Train Acc: 0.709, Test Loss: 13.818, Test Acc: 0.680
Epoch: 046, Train Loss: 35.978, Train Acc: 0.716, Test Loss: 13.754, Test Acc: 0.620
Epoch: 047, Train Loss: 35.970, Train Acc: 0.709, Test Loss: 13.814, Test Acc: 0.680
Epoch: 048, Train Loss: 35.950, Train Acc: 0.709, Test Loss: 13.791, Test Acc: 0.640
Epoch: 049, Train Loss: 35.973, Train Acc: 0.711, Test Loss: 13.737, Test Acc: 0.615
Epoch: 050, Train Loss: 35.956, Train Acc: 0.694, Test Loss: 13.724, Test Acc: 0.660
Epoch: 051, Train Loss: 35.974, Train Acc: 0.721, Test Loss: 13.856, Test Acc: 0.655
Epoch: 052, Train Loss: 35.949, Train Acc: 0.714, Test Loss: 13.808, Test Acc: 0.680
Epoch: 053, Train Loss: 35.971, Train Acc: 0.718, Test Loss: 13.714, Test Acc: 0.660
Epoch: 054, Train Loss: 35.960, Train Acc: 0.698, Test Loss: 13.761, Test Acc: 0.605
Epoch: 055, Train Loss: 35.959, Train Acc: 0.691, Test Loss: 14.000, Test Acc: 0.630
Epoch: 056, Train Loss: 35.968, Train Acc: 0.699, Test Loss: 13.769, Test Acc: 0.670
Epoch: 057, Train Loss: 35.941, Train Acc: 0.711, Test Loss: 13.708, Test Acc: 0.695
Epoch: 058, Train Loss: 35.955, Train Acc: 0.713, Test Loss: 13.715, Test Acc: 0.690
Epoch: 059, Train Loss: 35.957, Train Acc: 0.710, Test Loss: 13.824, Test Acc: 0.645
Result of run 1.000 is 0.645
Epoch: 001, Train Loss: 36.780, Train Acc: 0.571, Test Loss: 14.295, Test Acc: 0.540
Epoch: 002, Train Loss: 36.535, Train Acc: 0.570, Test Loss: 14.089, Test Acc: 0.615
Epoch: 003, Train Loss: 36.273, Train Acc: 0.635, Test Loss: 14.056, Test Acc: 0.675
Epoch: 004, Train Loss: 36.182, Train Acc: 0.689, Test Loss: 14.037, Test Acc: 0.690
Epoch: 005, Train Loss: 36.186, Train Acc: 0.676, Test Loss: 13.947, Test Acc: 0.695
Epoch: 006, Train Loss: nan, Train Acc: 0.681, Test Loss: nan, Test Acc: 0.450
Epoch: 007, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
